year,city,country,avg_temp
1743,Bern,Switzerland,3.54
1744,Bern,Switzerland,8.19
1745,Bern,Switzerland,0.36
1746,Bern,Switzerland,
1747,Bern,Switzerland,
1748,Bern,Switzerland,
1749,Bern,Switzerland,
1750,Bern,Switzerland,7.61
1751,Bern,Switzerland,7.73
1752,Bern,Switzerland,2.86
1753,Bern,Switzerland,6.83
1754,Bern,Switzerland,6.55
1755,Bern,Switzerland,6.21
1756,Bern,Switzerland,6.60
1757,Bern,Switzerland,6.30
1758,Bern,Switzerland,5.92
1759,Bern,Switzerland,7.06
1760,Bern,Switzerland,7.27
1761,Bern,Switzerland,7.03
1762,Bern,Switzerland,6.64
1763,Bern,Switzerland,6.43
1764,Bern,Switzerland,6.98
1765,Bern,Switzerland,6.69
1766,Bern,Switzerland,6.39
1767,Bern,Switzerland,6.20
1768,Bern,Switzerland,6.30
1769,Bern,Switzerland,6.67
1770,Bern,Switzerland,6.52
1771,Bern,Switzerland,6.54
1772,Bern,Switzerland,7.93
1773,Bern,Switzerland,6.88
1774,Bern,Switzerland,6.72
1775,Bern,Switzerland,7.25
1776,Bern,Switzerland,6.55
1777,Bern,Switzerland,6.45
1778,Bern,Switzerland,7.29
1779,Bern,Switzerland,7.65
1780,Bern,Switzerland,6.95
1781,Bern,Switzerland,7.78
1782,Bern,Switzerland,6.07
1783,Bern,Switzerland,7.46
1784,Bern,Switzerland,5.96
1785,Bern,Switzerland,5.89
1786,Bern,Switzerland,6.17
1787,Bern,Switzerland,7.08
1788,Bern,Switzerland,7.02
1789,Bern,Switzerland,6.39
1790,Bern,Switzerland,7.18
1791,Bern,Switzerland,7.31
1792,Bern,Switzerland,7.04
1793,Bern,Switzerland,7.21
1794,Bern,Switzerland,7.70
1795,Bern,Switzerland,6.75
1796,Bern,Switzerland,6.79
1797,Bern,Switzerland,7.41
1798,Bern,Switzerland,6.99
1799,Bern,Switzerland,5.49
1800,Bern,Switzerland,7.14
1801,Bern,Switzerland,7.43
1802,Bern,Switzerland,7.29
1803,Bern,Switzerland,6.41
1804,Bern,Switzerland,7.02
1805,Bern,Switzerland,5.33
1806,Bern,Switzerland,7.58
1807,Bern,Switzerland,7.04
1808,Bern,Switzerland,5.72
1809,Bern,Switzerland,6.51
1810,Bern,Switzerland,6.57
1811,Bern,Switzerland,7.77
1812,Bern,Switzerland,5.48
1813,Bern,Switzerland,6.08
1814,Bern,Switzerland,5.66
1815,Bern,Switzerland,6.37
1816,Bern,Switzerland,5.15
1817,Bern,Switzerland,6.44
1818,Bern,Switzerland,6.91
1819,Bern,Switzerland,7.15
1820,Bern,Switzerland,6.13
1821,Bern,Switzerland,6.83
1822,Bern,Switzerland,8.09
1823,Bern,Switzerland,6.42
1824,Bern,Switzerland,7.11
1825,Bern,Switzerland,7.33
1826,Bern,Switzerland,6.95
1827,Bern,Switzerland,6.78
1828,Bern,Switzerland,7.38
1829,Bern,Switzerland,5.16
1830,Bern,Switzerland,6.15
1831,Bern,Switzerland,7.05
1832,Bern,Switzerland,6.49
1833,Bern,Switzerland,6.81
1834,Bern,Switzerland,7.91
1835,Bern,Switzerland,6.30
1836,Bern,Switzerland,6.54
1837,Bern,Switzerland,5.92
1838,Bern,Switzerland,5.66
1839,Bern,Switzerland,6.95
1840,Bern,Switzerland,5.97
1841,Bern,Switzerland,7.08
1842,Bern,Switzerland,6.21
1843,Bern,Switzerland,6.62
1844,Bern,Switzerland,6.25
1845,Bern,Switzerland,5.85
1846,Bern,Switzerland,7.57
1847,Bern,Switzerland,6.12
1848,Bern,Switzerland,6.70
1849,Bern,Switzerland,6.68
1850,Bern,Switzerland,6.04
1851,Bern,Switzerland,5.89
1852,Bern,Switzerland,7.21
1853,Bern,Switzerland,5.80
1854,Bern,Switzerland,6.40
1855,Bern,Switzerland,5.67
1856,Bern,Switzerland,6.51
1857,Bern,Switzerland,6.74
1858,Bern,Switzerland,5.89
1859,Bern,Switzerland,7.28
1860,Bern,Switzerland,5.56
1861,Bern,Switzerland,6.78
1862,Bern,Switzerland,7.47
1863,Bern,Switzerland,7.39
1864,Bern,Switzerland,5.58
1865,Bern,Switzerland,7.07
1866,Bern,Switzerland,7.31
1867,Bern,Switzerland,6.67
1868,Bern,Switzerland,7.70
1869,Bern,Switzerland,6.75
1870,Bern,Switzerland,6.00
1871,Bern,Switzerland,5.67
1872,Bern,Switzerland,7.44
1873,Bern,Switzerland,7.03
1874,Bern,Switzerland,6.43
1875,Bern,Switzerland,6.42
1876,Bern,Switzerland,6.84
1877,Bern,Switzerland,6.94
1878,Bern,Switzerland,6.40
1879,Bern,Switzerland,5.63
1880,Bern,Switzerland,7.02
1881,Bern,Switzerland,6.52
1882,Bern,Switzerland,6.75
1883,Bern,Switzerland,6.37
1884,Bern,Switzerland,6.91
1885,Bern,Switzerland,6.53
1886,Bern,Switzerland,6.69
1887,Bern,Switzerland,5.42
1888,Bern,Switzerland,5.72
1889,Bern,Switzerland,5.81
1890,Bern,Switzerland,5.74
1891,Bern,Switzerland,5.87
1892,Bern,Switzerland,6.65
1893,Bern,Switzerland,6.88
1894,Bern,Switzerland,6.78
1895,Bern,Switzerland,6.19
1896,Bern,Switzerland,6.01
1897,Bern,Switzerland,6.92
1898,Bern,Switzerland,7.26
1899,Bern,Switzerland,7.03
1900,Bern,Switzerland,7.13
1901,Bern,Switzerland,6.17
1902,Bern,Switzerland,6.48
1903,Bern,Switzerland,6.73
1904,Bern,Switzerland,7.25
1905,Bern,Switzerland,6.50
1906,Bern,Switzerland,6.77
1907,Bern,Switzerland,6.67
1908,Bern,Switzerland,6.18
1909,Bern,Switzerland,5.97
1910,Bern,Switzerland,6.62
1911,Bern,Switzerland,7.43
1912,Bern,Switzerland,6.35
1913,Bern,Switzerland,6.94
1914,Bern,Switzerland,6.59
1915,Bern,Switzerland,6.54
1916,Bern,Switzerland,6.96
1917,Bern,Switzerland,6.03
1918,Bern,Switzerland,6.91
1919,Bern,Switzerland,6.20
1920,Bern,Switzerland,7.39
1921,Bern,Switzerland,7.76
1922,Bern,Switzerland,6.22
1923,Bern,Switzerland,7.12
1924,Bern,Switzerland,6.39
1925,Bern,Switzerland,6.69
1926,Bern,Switzerland,7.37
1927,Bern,Switzerland,7.03
1928,Bern,Switzerland,7.41
1929,Bern,Switzerland,6.43
1930,Bern,Switzerland,7.42
1931,Bern,Switzerland,6.13
